priority_rank,priority_group,url,page_type,material,grade,form,city,country,reason,linked_from,sitemap_present,http_status,canonical_status,indexing_action
13,core material and grade,https://rubinoxmetal.com/materials/stainless-steel.html,materials,,,,,,Primary material/grade discovery page,material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
14,core material and grade,https://rubinoxmetal.com/materials/nickel-alloys.html,materials,,,,,,Primary material/grade discovery page,material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
15,core material and grade,https://rubinoxmetal.com/materials/duplex-super-duplex.html,materials,,,,,,Primary material/grade discovery page,material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
16,core material and grade,https://rubinoxmetal.com/materials/high-speed-steel.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
17,core material and grade,https://rubinoxmetal.com/materials/carbon-steel.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
18,core material and grade,https://rubinoxmetal.com/materials/aluminium.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
19,core material and grade,https://rubinoxmetal.com/materials/copper.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
20,core material and grade,https://rubinoxmetal.com/materials/brass.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
21,core material and grade,https://rubinoxmetal.com/materials/ss-304-supplier-india.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
22,core material and grade,https://rubinoxmetal.com/materials/ss-316-supplier-india.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
23,core material and grade,https://rubinoxmetal.com/materials/ss-316l-supplier-india.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
24,core material and grade,https://rubinoxmetal.com/materials/inconel-625-supplier-india.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
25,core material and grade,https://rubinoxmetal.com/materials/duplex-2205-supplier-india.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
26,core material and grade,https://rubinoxmetal.com/materials/super-duplex-2507-supplier-india.html,materials,,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
27,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-fittings-chennai.html,material-location,Stainless Steel,SS 316L,fittings,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
28,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-flanges-hyderabad.html,material-location,Stainless Steel,SS 316,flanges,Hyderabad,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
29,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-coils-mumbai.html,material-location,Stainless Steel,SS 304,coils,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
30,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-sheets-mumbai.html,material-location,Stainless Steel,SS 304,sheets,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
31,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-pipes-mumbai.html,material-location,Stainless Steel,SS 316,pipes,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
32,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-pipes-pune.html,material-location,Stainless Steel,SS 316L,pipes,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
33,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-welded-pipes-mumbai.html,material-location,Stainless Steel,SS 304,welded pipes,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
34,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-seamless-pipes-mumbai.html,material-location,Stainless Steel,SS 304,seamless pipes,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
35,D12B top priority,https://rubinoxmetal.com/material-location/ss-310-plates-pune.html,material-location,Stainless Steel,SS 310,plates,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
36,D12B top priority,https://rubinoxmetal.com/material-location/ss-410-round-bars-rajkot.html,material-location,Stainless Steel,SS 410,round bars,Rajkot,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
37,D12B top priority,https://rubinoxmetal.com/material-location/ss-430-sheets-delhi.html,material-location,Stainless Steel,SS 430,sheets,Delhi,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
38,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-perforated-sheets-ahmedabad.html,material-location,Stainless Steel,SS 304,perforated sheets,Ahmedabad,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
39,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-wire-mesh-bengaluru.html,material-location,Stainless Steel,SS 316,wire mesh,Bengaluru,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
40,D12B top priority,https://rubinoxmetal.com/material-location/ss-304l-sheets-mumbai.html,material-location,Stainless Steel,SS 304L,sheets,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
41,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-plates-mumbai.html,material-location,Stainless Steel,SS 316,plates,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
42,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-tubes-chennai.html,material-location,Stainless Steel,SS 316L,tubes,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
43,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-fasteners-pune.html,material-location,Stainless Steel,SS 304,fasteners,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
44,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-fittings-mumbai.html,material-location,Stainless Steel,SS 316L,fittings,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
45,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-flanges-chennai.html,material-location,Stainless Steel,SS 316,flanges,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
46,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-coils-ahmedabad.html,material-location,Stainless Steel,SS 304,coils,Ahmedabad,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
47,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-sheets-pune.html,material-location,Stainless Steel,SS 304,sheets,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
48,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-pipes-chennai.html,material-location,Stainless Steel,SS 316,pipes,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
49,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-pipes-mumbai.html,material-location,Stainless Steel,SS 316L,pipes,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
50,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-welded-pipes-pune.html,material-location,Stainless Steel,SS 304,welded pipes,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
51,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-seamless-pipes-vadodara.html,material-location,Stainless Steel,SS 304,seamless pipes,Vadodara,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
52,D12B top priority,https://rubinoxmetal.com/material-location/ss-310-plates-mumbai.html,material-location,Stainless Steel,SS 310,plates,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
53,D12B top priority,https://rubinoxmetal.com/material-location/ss-410-round-bars-pune.html,material-location,Stainless Steel,SS 410,round bars,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
54,D12B top priority,https://rubinoxmetal.com/material-location/ss-430-sheets-chennai.html,material-location,Stainless Steel,SS 430,sheets,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
55,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-perforated-sheets-mumbai.html,material-location,Stainless Steel,SS 304,perforated sheets,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
56,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-wire-mesh-mumbai.html,material-location,Stainless Steel,SS 316,wire mesh,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
57,D12B top priority,https://rubinoxmetal.com/material-location/ss-304l-sheets-pune.html,material-location,Stainless Steel,SS 304L,sheets,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
58,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-plates-pune.html,material-location,Stainless Steel,SS 316,plates,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
59,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-tubes-mumbai.html,material-location,Stainless Steel,SS 316L,tubes,Mumbai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
60,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-fasteners-faridabad.html,material-location,Stainless Steel,SS 304,fasteners,Faridabad,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
61,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-fittings-pune.html,material-location,Stainless Steel,SS 316L,fittings,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
62,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-flanges-pune.html,material-location,Stainless Steel,SS 316,flanges,Pune,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
63,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-coils-chennai.html,material-location,Stainless Steel,SS 304,coils,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
64,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-sheets-chennai.html,material-location,Stainless Steel,SS 304,sheets,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
65,D12B top priority,https://rubinoxmetal.com/material-location/ss-316-pipes-hyderabad.html,material-location,Stainless Steel,SS 316,pipes,Hyderabad,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
66,D12B top priority,https://rubinoxmetal.com/material-location/ss-316l-pipes-chennai.html,material-location,Stainless Steel,SS 316L,pipes,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
67,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-welded-pipes-ahmedabad.html,material-location,Stainless Steel,SS 304,welded pipes,Ahmedabad,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
68,D12B top priority,https://rubinoxmetal.com/material-location/ss-304-seamless-pipes-chennai.html,material-location,Stainless Steel,SS 304,seamless pipes,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
69,D12B top priority,https://rubinoxmetal.com/material-location/ss-310-plates-chennai.html,material-location,Stainless Steel,SS 310,plates,Chennai,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
70,D12B top priority,https://rubinoxmetal.com/material-location/ss-410-round-bars-coimbatore.html,material-location,Stainless Steel,SS 410,round bars,Coimbatore,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
71,D12B top priority,https://rubinoxmetal.com/material-location/ss-420-rods-faridabad.html,material-location,Stainless Steel,SS 420,rods,Faridabad,,Owner-priority final keyword coverage page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
72,D12B export,https://rubinoxmetal.com/export-material/duplex-2205-pipes-saudi-arabia.html,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,Saudi Arabia,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
73,D12B export,https://rubinoxmetal.com/export-material/super-duplex-2507-flanges-qatar.html,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,Qatar,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
74,D12B export,https://rubinoxmetal.com/export-material/hastelloy-c276-plates-singapore.html,export-material,Nickel Alloys,Hastelloy C276,plates,,Singapore,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
75,D12B export,https://rubinoxmetal.com/export-material/inconel-625-plates-oman.html,export-material,Nickel Alloys,Inconel 625,plates,,Oman,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
76,D12B export,https://rubinoxmetal.com/export-material/duplex-2205-pipes-uae.html,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,UAE,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
77,D12B export,https://rubinoxmetal.com/export-material/super-duplex-2507-flanges-saudi-arabia.html,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,Saudi Arabia,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
78,D12B export,https://rubinoxmetal.com/export-material/hastelloy-c276-plates-germany.html,export-material,Nickel Alloys,Hastelloy C276,plates,,Germany,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
79,D12B export,https://rubinoxmetal.com/export-material/inconel-625-plates-saudi-arabia.html,export-material,Nickel Alloys,Inconel 625,plates,,Saudi Arabia,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
80,D12B export,https://rubinoxmetal.com/export-material/duplex-2205-pipes-qatar.html,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,Qatar,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
81,D12B export,https://rubinoxmetal.com/export-material/super-duplex-2507-flanges-oman.html,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,Oman,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
82,D12B export,https://rubinoxmetal.com/export-material/hastelloy-c276-plates-uae.html,export-material,Nickel Alloys,Hastelloy C276,plates,,UAE,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
83,D12B export,https://rubinoxmetal.com/export-material/inconel-625-plates-qatar.html,export-material,Nickel Alloys,Inconel 625,plates,,Qatar,Final export-material keyword coverage page,export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
84,D12B HSS,https://rubinoxmetal.com/material-location/hss-m35-round-bars-pune.html,material-location,High Speed Steel,HSS M35,round bars,Pune,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
85,D12B HSS,https://rubinoxmetal.com/material-location/hss-m42-tool-steel-bars-chennai.html,material-location,High Speed Steel,HSS M42,tool steel bars,Chennai,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
86,D12B HSS,https://rubinoxmetal.com/material-location/hss-m2-flats-coimbatore.html,material-location,High Speed Steel,HSS M2,flats,Coimbatore,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
87,D12B HSS,https://rubinoxmetal.com/material-location/hss-m35-round-bars-bengaluru.html,material-location,High Speed Steel,HSS M35,round bars,Bengaluru,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
88,D12B HSS,https://rubinoxmetal.com/material-location/hss-m42-tool-steel-bars-pune.html,material-location,High Speed Steel,HSS M42,tool steel bars,Pune,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
89,D12B HSS,https://rubinoxmetal.com/material-location/hss-m35-round-bars-chennai.html,material-location,High Speed Steel,HSS M35,round bars,Chennai,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
90,D12B HSS,https://rubinoxmetal.com/material-location/hss-m42-tool-steel-bars-faridabad.html,material-location,High Speed Steel,HSS M42,tool steel bars,Faridabad,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
91,D12B HSS,https://rubinoxmetal.com/material-location/hss-m2-flats-pune.html,material-location,High Speed Steel,HSS M2,flats,Pune,,HSS final keyword coverage page,material-location.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
92,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-mumbai.html,material-location,Stainless Steel,SS 304,Fittings,Mumbai,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
93,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-pune.html,material-location,Stainless Steel,SS 304,Fittings,Pune,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
94,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-ahmedabad.html,material-location,Stainless Steel,SS 304,Fittings,Ahmedabad,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
95,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-bengaluru.html,material-location,Stainless Steel,SS 304,Fittings,Bengaluru,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
96,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-chakan-pimpri-chinchwad.html,material-location,Stainless Steel,SS 304,Fittings,Chakan and Pimpri-Chinchwad,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
97,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-chennai.html,material-location,Stainless Steel,SS 304,Fittings,Chennai,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
98,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-hyderabad.html,material-location,Stainless Steel,SS 304,Fittings,Hyderabad,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
99,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-vadodara.html,material-location,Stainless Steel,SS 304,Fittings,Vadodara,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
100,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-ankleshwar.html,material-location,Stainless Steel,SS 304,Fittings,Ankleshwar,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
101,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-delhi.html,material-location,Stainless Steel,SS 304,Fittings,Delhi NCR,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
102,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-bharuch.html,material-location,Stainless Steel,SS 304,Fittings,Bharuch,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
103,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-coimbatore.html,material-location,Stainless Steel,SS 304,Fittings,Coimbatore,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
104,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-faridabad.html,material-location,Stainless Steel,SS 304,Fittings,Faridabad,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
105,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-gurugram-manesar.html,material-location,Stainless Steel,SS 304,Fittings,Gurugram and Manesar,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
106,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-vapi.html,material-location,Stainless Steel,SS 304,Fittings,Vapi,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
107,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-visakhapatnam.html,material-location,Stainless Steel,SS 304,Fittings,Visakhapatnam,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
108,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-hosur.html,material-location,Stainless Steel,SS 304,Fittings,Hosur,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
109,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-indore-pithampur.html,material-location,Stainless Steel,SS 304,Fittings,Indore and Pithampur,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
110,D11C representative,https://rubinoxmetal.com/material-location/ss-304-fittings-jamnagar.html,material-location,Stainless Steel,SS 304,Fittings,Jamnagar,,Mega expansion representative page,material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
