priority_rank,priority,page_type,folder,material,grade,form,city,state,country,proposed_url,proposed_h1,target_keyword,intent,industry_basis,existing_overlap,risk_level,content_depth_score,internal_links_from,internal_links_to,create_in_d12b,notes
11,High,india_city,material-location,Stainless Steel,SS 430,sheets,Delhi,Delhi NCR,,/material-location/ss-430-sheets-delhi.html,SS 430 Sheets Supplier in Delhi,SS 430 sheets supplier in Delhi,RFQ-led material + grade + form + destination sourcing page,Delhi buyer intent for stainless sheets RFQs and documentation-led sourcing.,/materials/ss-430-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
12,High,india_city,material-location,Stainless Steel,SS 304,perforated sheets,Ahmedabad,Gujarat,,/material-location/ss-304-perforated-sheets-ahmedabad.html,SS 304 Perforated Sheets Supplier in Ahmedabad,SS 304 perforated sheets supplier in Ahmedabad,RFQ-led material + grade + form + destination sourcing page,Ahmedabad buyer intent for stainless perforated sheets RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
13,High,india_city,material-location,Stainless Steel,SS 316,wire mesh,Bengaluru,Karnataka,,/material-location/ss-316-wire-mesh-bengaluru.html,SS 316 Wire Mesh Supplier in Bengaluru,SS 316 wire mesh supplier in Bengaluru,RFQ-led material + grade + form + destination sourcing page,Bengaluru buyer intent for stainless wire mesh RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
14,High,india_city,material-location,Stainless Steel,SS 304L,sheets,Mumbai,Maharashtra,,/material-location/ss-304l-sheets-mumbai.html,SS 304L Sheets Supplier in Mumbai,SS 304L sheets supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless sheets RFQs and documentation-led sourcing.,/materials/ss-304l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
15,High,india_city,material-location,Stainless Steel,SS 316,plates,Mumbai,Maharashtra,,/material-location/ss-316-plates-mumbai.html,SS 316 Plates Supplier in Mumbai,SS 316 plates supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless plates RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
16,High,india_city,material-location,Stainless Steel,SS 316L,tubes,Chennai,Tamil Nadu,,/material-location/ss-316l-tubes-chennai.html,SS 316L Tubes Supplier in Chennai,SS 316L tubes supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless tubes RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
17,High,india_city,material-location,Stainless Steel,SS 304,fasteners,Pune,Maharashtra,,/material-location/ss-304-fasteners-pune.html,SS 304 Fasteners Supplier in Pune,SS 304 fasteners supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless fasteners RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
18,High,india_city,material-location,Stainless Steel,SS 316L,fittings,Mumbai,Maharashtra,,/material-location/ss-316l-fittings-mumbai.html,SS 316L Fittings Supplier in Mumbai,SS 316L fittings supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless fittings RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
19,High,india_city,material-location,Stainless Steel,SS 316,flanges,Chennai,Tamil Nadu,,/material-location/ss-316-flanges-chennai.html,SS 316 Flanges Supplier in Chennai,SS 316 flanges supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless flanges RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
20,High,india_city,material-location,Stainless Steel,SS 304,coils,Ahmedabad,Gujarat,,/material-location/ss-304-coils-ahmedabad.html,SS 304 Coils Supplier in Ahmedabad,SS 304 coils supplier in Ahmedabad,RFQ-led material + grade + form + destination sourcing page,Ahmedabad buyer intent for stainless coils RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
21,High,india_city,material-location,Stainless Steel,SS 304,sheets,Pune,Maharashtra,,/material-location/ss-304-sheets-pune.html,SS 304 Sheets Supplier in Pune,SS 304 sheets supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless sheets RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
22,High,india_city,material-location,Stainless Steel,SS 316,pipes,Chennai,Tamil Nadu,,/material-location/ss-316-pipes-chennai.html,SS 316 Pipes Supplier in Chennai,SS 316 pipes supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless pipes RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
23,High,india_city,material-location,Stainless Steel,SS 316L,pipes,Mumbai,Maharashtra,,/material-location/ss-316l-pipes-mumbai.html,SS 316L Pipes Supplier in Mumbai,SS 316L pipes supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless pipes RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
24,High,india_city,material-location,Stainless Steel,SS 304,welded pipes,Pune,Maharashtra,,/material-location/ss-304-welded-pipes-pune.html,SS 304 Welded Pipes Supplier in Pune,SS 304 welded pipes supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless welded pipes RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
25,High,india_city,material-location,Stainless Steel,SS 304,seamless pipes,Vadodara,Gujarat,,/material-location/ss-304-seamless-pipes-vadodara.html,SS 304 Seamless Pipes Supplier in Vadodara,SS 304 seamless pipes supplier in Vadodara,RFQ-led material + grade + form + destination sourcing page,Vadodara buyer intent for stainless seamless pipes RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
26,High,india_city,material-location,Stainless Steel,SS 310,plates,Mumbai,Maharashtra,,/material-location/ss-310-plates-mumbai.html,SS 310 Plates Supplier in Mumbai,SS 310 plates supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless plates RFQs and documentation-led sourcing.,/materials/ss-310-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
27,High,india_city,material-location,Stainless Steel,SS 410,round bars,Pune,Maharashtra,,/material-location/ss-410-round-bars-pune.html,SS 410 Round Bars Supplier in Pune,SS 410 round bars supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless round bars RFQs and documentation-led sourcing.,/materials/ss-410-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
28,High,india_city,material-location,Stainless Steel,SS 430,sheets,Chennai,Tamil Nadu,,/material-location/ss-430-sheets-chennai.html,SS 430 Sheets Supplier in Chennai,SS 430 sheets supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless sheets RFQs and documentation-led sourcing.,/materials/ss-430-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
29,High,india_city,material-location,Stainless Steel,SS 304,perforated sheets,Mumbai,Maharashtra,,/material-location/ss-304-perforated-sheets-mumbai.html,SS 304 Perforated Sheets Supplier in Mumbai,SS 304 perforated sheets supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless perforated sheets RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
30,High,india_city,material-location,Stainless Steel,SS 316,wire mesh,Mumbai,Maharashtra,,/material-location/ss-316-wire-mesh-mumbai.html,SS 316 Wire Mesh Supplier in Mumbai,SS 316 wire mesh supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless wire mesh RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
31,High,india_city,material-location,Stainless Steel,SS 304L,sheets,Pune,Maharashtra,,/material-location/ss-304l-sheets-pune.html,SS 304L Sheets Supplier in Pune,SS 304L sheets supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless sheets RFQs and documentation-led sourcing.,/materials/ss-304l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
32,High,india_city,material-location,Stainless Steel,SS 316,plates,Pune,Maharashtra,,/material-location/ss-316-plates-pune.html,SS 316 Plates Supplier in Pune,SS 316 plates supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless plates RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
33,High,india_city,material-location,Stainless Steel,SS 316L,tubes,Mumbai,Maharashtra,,/material-location/ss-316l-tubes-mumbai.html,SS 316L Tubes Supplier in Mumbai,SS 316L tubes supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless tubes RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
34,High,india_city,material-location,Stainless Steel,SS 304,fasteners,Faridabad,Haryana,,/material-location/ss-304-fasteners-faridabad.html,SS 304 Fasteners Supplier in Faridabad,SS 304 fasteners supplier in Faridabad,RFQ-led material + grade + form + destination sourcing page,Faridabad buyer intent for stainless fasteners RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
35,High,india_city,material-location,Stainless Steel,SS 316L,fittings,Pune,Maharashtra,,/material-location/ss-316l-fittings-pune.html,SS 316L Fittings Supplier in Pune,SS 316L fittings supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless fittings RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
36,High,india_city,material-location,Stainless Steel,SS 316,flanges,Pune,Maharashtra,,/material-location/ss-316-flanges-pune.html,SS 316 Flanges Supplier in Pune,SS 316 flanges supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless flanges RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
37,High,india_city,material-location,Stainless Steel,SS 304,coils,Chennai,Tamil Nadu,,/material-location/ss-304-coils-chennai.html,SS 304 Coils Supplier in Chennai,SS 304 coils supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless coils RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
38,High,india_city,material-location,Stainless Steel,SS 304,sheets,Chennai,Tamil Nadu,,/material-location/ss-304-sheets-chennai.html,SS 304 Sheets Supplier in Chennai,SS 304 sheets supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless sheets RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
39,High,india_city,material-location,Stainless Steel,SS 316,pipes,Hyderabad,Telangana,,/material-location/ss-316-pipes-hyderabad.html,SS 316 Pipes Supplier in Hyderabad,SS 316 pipes supplier in Hyderabad,RFQ-led material + grade + form + destination sourcing page,Hyderabad buyer intent for stainless pipes RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
40,High,india_city,material-location,Stainless Steel,SS 316L,pipes,Chennai,Tamil Nadu,,/material-location/ss-316l-pipes-chennai.html,SS 316L Pipes Supplier in Chennai,SS 316L pipes supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless pipes RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
41,High,india_city,material-location,Stainless Steel,SS 304,welded pipes,Ahmedabad,Gujarat,,/material-location/ss-304-welded-pipes-ahmedabad.html,SS 304 Welded Pipes Supplier in Ahmedabad,SS 304 welded pipes supplier in Ahmedabad,RFQ-led material + grade + form + destination sourcing page,Ahmedabad buyer intent for stainless welded pipes RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
42,High,india_city,material-location,Stainless Steel,SS 304,seamless pipes,Chennai,Tamil Nadu,,/material-location/ss-304-seamless-pipes-chennai.html,SS 304 Seamless Pipes Supplier in Chennai,SS 304 seamless pipes supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless seamless pipes RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
