priority_rank,page_type,folder,material,grade,form,city,state,country,url,canonical,h1,target_keyword,bucket,status,created_in_batch,notes
16,india_city,material-location,Stainless Steel,SS 316L,tubes,Chennai,Tamil Nadu,,/material-location/ss-316l-tubes-chennai.html,https://rubinoxmetal.com/material-location/ss-316l-tubes-chennai.html,SS 316L Tubes Supplier in Chennai,SS 316L tubes supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
17,india_city,material-location,Stainless Steel,SS 304,fasteners,Pune,Maharashtra,,/material-location/ss-304-fasteners-pune.html,https://rubinoxmetal.com/material-location/ss-304-fasteners-pune.html,SS 304 Fasteners Supplier in Pune,SS 304 fasteners supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
18,india_city,material-location,Stainless Steel,SS 316L,fittings,Mumbai,Maharashtra,,/material-location/ss-316l-fittings-mumbai.html,https://rubinoxmetal.com/material-location/ss-316l-fittings-mumbai.html,SS 316L Fittings Supplier in Mumbai,SS 316L fittings supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
19,india_city,material-location,Stainless Steel,SS 316,flanges,Chennai,Tamil Nadu,,/material-location/ss-316-flanges-chennai.html,https://rubinoxmetal.com/material-location/ss-316-flanges-chennai.html,SS 316 Flanges Supplier in Chennai,SS 316 flanges supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
20,india_city,material-location,Stainless Steel,SS 304,coils,Ahmedabad,Gujarat,,/material-location/ss-304-coils-ahmedabad.html,https://rubinoxmetal.com/material-location/ss-304-coils-ahmedabad.html,SS 304 Coils Supplier in Ahmedabad,SS 304 coils supplier in Ahmedabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
21,india_city,material-location,Stainless Steel,SS 304,sheets,Pune,Maharashtra,,/material-location/ss-304-sheets-pune.html,https://rubinoxmetal.com/material-location/ss-304-sheets-pune.html,SS 304 Sheets Supplier in Pune,SS 304 sheets supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
22,india_city,material-location,Stainless Steel,SS 316,pipes,Chennai,Tamil Nadu,,/material-location/ss-316-pipes-chennai.html,https://rubinoxmetal.com/material-location/ss-316-pipes-chennai.html,SS 316 Pipes Supplier in Chennai,SS 316 pipes supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
23,india_city,material-location,Stainless Steel,SS 316L,pipes,Mumbai,Maharashtra,,/material-location/ss-316l-pipes-mumbai.html,https://rubinoxmetal.com/material-location/ss-316l-pipes-mumbai.html,SS 316L Pipes Supplier in Mumbai,SS 316L pipes supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
24,india_city,material-location,Stainless Steel,SS 304,welded pipes,Pune,Maharashtra,,/material-location/ss-304-welded-pipes-pune.html,https://rubinoxmetal.com/material-location/ss-304-welded-pipes-pune.html,SS 304 Welded Pipes Supplier in Pune,SS 304 welded pipes supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
25,india_city,material-location,Stainless Steel,SS 304,seamless pipes,Vadodara,Gujarat,,/material-location/ss-304-seamless-pipes-vadodara.html,https://rubinoxmetal.com/material-location/ss-304-seamless-pipes-vadodara.html,SS 304 Seamless Pipes Supplier in Vadodara,SS 304 seamless pipes supplier in Vadodara,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
26,india_city,material-location,Stainless Steel,SS 310,plates,Mumbai,Maharashtra,,/material-location/ss-310-plates-mumbai.html,https://rubinoxmetal.com/material-location/ss-310-plates-mumbai.html,SS 310 Plates Supplier in Mumbai,SS 310 plates supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
27,india_city,material-location,Stainless Steel,SS 410,round bars,Pune,Maharashtra,,/material-location/ss-410-round-bars-pune.html,https://rubinoxmetal.com/material-location/ss-410-round-bars-pune.html,SS 410 Round Bars Supplier in Pune,SS 410 round bars supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
28,india_city,material-location,Stainless Steel,SS 430,sheets,Chennai,Tamil Nadu,,/material-location/ss-430-sheets-chennai.html,https://rubinoxmetal.com/material-location/ss-430-sheets-chennai.html,SS 430 Sheets Supplier in Chennai,SS 430 sheets supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
29,india_city,material-location,Stainless Steel,SS 304,perforated sheets,Mumbai,Maharashtra,,/material-location/ss-304-perforated-sheets-mumbai.html,https://rubinoxmetal.com/material-location/ss-304-perforated-sheets-mumbai.html,SS 304 Perforated Sheets Supplier in Mumbai,SS 304 perforated sheets supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
30,india_city,material-location,Stainless Steel,SS 316,wire mesh,Mumbai,Maharashtra,,/material-location/ss-316-wire-mesh-mumbai.html,https://rubinoxmetal.com/material-location/ss-316-wire-mesh-mumbai.html,SS 316 Wire Mesh Supplier in Mumbai,SS 316 wire mesh supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
31,india_city,material-location,Stainless Steel,SS 304L,sheets,Pune,Maharashtra,,/material-location/ss-304l-sheets-pune.html,https://rubinoxmetal.com/material-location/ss-304l-sheets-pune.html,SS 304L Sheets Supplier in Pune,SS 304L sheets supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
32,india_city,material-location,Stainless Steel,SS 316,plates,Pune,Maharashtra,,/material-location/ss-316-plates-pune.html,https://rubinoxmetal.com/material-location/ss-316-plates-pune.html,SS 316 Plates Supplier in Pune,SS 316 plates supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
33,india_city,material-location,Stainless Steel,SS 316L,tubes,Mumbai,Maharashtra,,/material-location/ss-316l-tubes-mumbai.html,https://rubinoxmetal.com/material-location/ss-316l-tubes-mumbai.html,SS 316L Tubes Supplier in Mumbai,SS 316L tubes supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
34,india_city,material-location,Stainless Steel,SS 304,fasteners,Faridabad,Haryana,,/material-location/ss-304-fasteners-faridabad.html,https://rubinoxmetal.com/material-location/ss-304-fasteners-faridabad.html,SS 304 Fasteners Supplier in Faridabad,SS 304 fasteners supplier in Faridabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
35,india_city,material-location,Stainless Steel,SS 316L,fittings,Pune,Maharashtra,,/material-location/ss-316l-fittings-pune.html,https://rubinoxmetal.com/material-location/ss-316l-fittings-pune.html,SS 316L Fittings Supplier in Pune,SS 316L fittings supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
36,india_city,material-location,Stainless Steel,SS 316,flanges,Pune,Maharashtra,,/material-location/ss-316-flanges-pune.html,https://rubinoxmetal.com/material-location/ss-316-flanges-pune.html,SS 316 Flanges Supplier in Pune,SS 316 flanges supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
37,india_city,material-location,Stainless Steel,SS 304,coils,Chennai,Tamil Nadu,,/material-location/ss-304-coils-chennai.html,https://rubinoxmetal.com/material-location/ss-304-coils-chennai.html,SS 304 Coils Supplier in Chennai,SS 304 coils supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
38,india_city,material-location,Stainless Steel,SS 304,sheets,Chennai,Tamil Nadu,,/material-location/ss-304-sheets-chennai.html,https://rubinoxmetal.com/material-location/ss-304-sheets-chennai.html,SS 304 Sheets Supplier in Chennai,SS 304 sheets supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
39,india_city,material-location,Stainless Steel,SS 316,pipes,Hyderabad,Telangana,,/material-location/ss-316-pipes-hyderabad.html,https://rubinoxmetal.com/material-location/ss-316-pipes-hyderabad.html,SS 316 Pipes Supplier in Hyderabad,SS 316 pipes supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
40,india_city,material-location,Stainless Steel,SS 316L,pipes,Chennai,Tamil Nadu,,/material-location/ss-316l-pipes-chennai.html,https://rubinoxmetal.com/material-location/ss-316l-pipes-chennai.html,SS 316L Pipes Supplier in Chennai,SS 316L pipes supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
41,india_city,material-location,Stainless Steel,SS 304,welded pipes,Ahmedabad,Gujarat,,/material-location/ss-304-welded-pipes-ahmedabad.html,https://rubinoxmetal.com/material-location/ss-304-welded-pipes-ahmedabad.html,SS 304 Welded Pipes Supplier in Ahmedabad,SS 304 welded pipes supplier in Ahmedabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
42,india_city,material-location,Stainless Steel,SS 304,seamless pipes,Chennai,Tamil Nadu,,/material-location/ss-304-seamless-pipes-chennai.html,https://rubinoxmetal.com/material-location/ss-304-seamless-pipes-chennai.html,SS 304 Seamless Pipes Supplier in Chennai,SS 304 seamless pipes supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
43,india_city,material-location,Stainless Steel,SS 310,plates,Chennai,Tamil Nadu,,/material-location/ss-310-plates-chennai.html,https://rubinoxmetal.com/material-location/ss-310-plates-chennai.html,SS 310 Plates Supplier in Chennai,SS 310 plates supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
44,india_city,material-location,Stainless Steel,SS 410,round bars,Coimbatore,Tamil Nadu,,/material-location/ss-410-round-bars-coimbatore.html,https://rubinoxmetal.com/material-location/ss-410-round-bars-coimbatore.html,SS 410 Round Bars Supplier in Coimbatore,SS 410 round bars supplier in Coimbatore,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
45,india_city,material-location,Stainless Steel,SS 420,rods,Faridabad,Haryana,,/material-location/ss-420-rods-faridabad.html,https://rubinoxmetal.com/material-location/ss-420-rods-faridabad.html,SS 420 Rods Supplier in Faridabad,SS 420 rods supplier in Faridabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
46,india_city,material-location,Stainless Steel,SS 430,sheets,Ahmedabad,Gujarat,,/material-location/ss-430-sheets-ahmedabad.html,https://rubinoxmetal.com/material-location/ss-430-sheets-ahmedabad.html,SS 430 Sheets Supplier in Ahmedabad,SS 430 sheets supplier in Ahmedabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
47,india_city,material-location,Stainless Steel,SS 304,perforated sheets,Pune,Maharashtra,,/material-location/ss-304-perforated-sheets-pune.html,https://rubinoxmetal.com/material-location/ss-304-perforated-sheets-pune.html,SS 304 Perforated Sheets Supplier in Pune,SS 304 perforated sheets supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
48,india_city,material-location,Stainless Steel,SS 316,wire mesh,Hyderabad,Telangana,,/material-location/ss-316-wire-mesh-hyderabad.html,https://rubinoxmetal.com/material-location/ss-316-wire-mesh-hyderabad.html,SS 316 Wire Mesh Supplier in Hyderabad,SS 316 wire mesh supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
49,india_city,material-location,Stainless Steel,SS 304L,sheets,Chennai,Tamil Nadu,,/material-location/ss-304l-sheets-chennai.html,https://rubinoxmetal.com/material-location/ss-304l-sheets-chennai.html,SS 304L Sheets Supplier in Chennai,SS 304L sheets supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
50,india_city,material-location,Stainless Steel,SS 316,plates,Chennai,Tamil Nadu,,/material-location/ss-316-plates-chennai.html,https://rubinoxmetal.com/material-location/ss-316-plates-chennai.html,SS 316 Plates Supplier in Chennai,SS 316 plates supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
51,india_city,material-location,Stainless Steel,SS 316L,tubes,Pune,Maharashtra,,/material-location/ss-316l-tubes-pune.html,https://rubinoxmetal.com/material-location/ss-316l-tubes-pune.html,SS 316L Tubes Supplier in Pune,SS 316L tubes supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
52,india_city,material-location,Stainless Steel,SS 304,fasteners,Chennai,Tamil Nadu,,/material-location/ss-304-fasteners-chennai.html,https://rubinoxmetal.com/material-location/ss-304-fasteners-chennai.html,SS 304 Fasteners Supplier in Chennai,SS 304 fasteners supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
53,india_city,material-location,Stainless Steel,SS 316L,fittings,Hyderabad,Telangana,,/material-location/ss-316l-fittings-hyderabad.html,https://rubinoxmetal.com/material-location/ss-316l-fittings-hyderabad.html,SS 316L Fittings Supplier in Hyderabad,SS 316L fittings supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
54,india_city,material-location,Stainless Steel,SS 316,flanges,Ahmedabad,Gujarat,,/material-location/ss-316-flanges-ahmedabad.html,https://rubinoxmetal.com/material-location/ss-316-flanges-ahmedabad.html,SS 316 Flanges Supplier in Ahmedabad,SS 316 flanges supplier in Ahmedabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
55,india_city,material-location,Stainless Steel,SS 304,coils,Bengaluru,Karnataka,,/material-location/ss-304-coils-bengaluru.html,https://rubinoxmetal.com/material-location/ss-304-coils-bengaluru.html,SS 304 Coils Supplier in Bengaluru,SS 304 coils supplier in Bengaluru,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
56,india_city,material-location,Stainless Steel,SS 304,sheets,Hyderabad,Telangana,,/material-location/ss-304-sheets-hyderabad.html,https://rubinoxmetal.com/material-location/ss-304-sheets-hyderabad.html,SS 304 Sheets Supplier in Hyderabad,SS 304 sheets supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
57,india_city,material-location,Stainless Steel,SS 316,pipes,Vadodara,Gujarat,,/material-location/ss-316-pipes-vadodara.html,https://rubinoxmetal.com/material-location/ss-316-pipes-vadodara.html,SS 316 Pipes Supplier in Vadodara,SS 316 pipes supplier in Vadodara,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
58,india_city,material-location,Stainless Steel,SS 316L,pipes,Bengaluru,Karnataka,,/material-location/ss-316l-pipes-bengaluru.html,https://rubinoxmetal.com/material-location/ss-316l-pipes-bengaluru.html,SS 316L Pipes Supplier in Bengaluru,SS 316L pipes supplier in Bengaluru,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
59,india_city,material-location,Stainless Steel,SS 304,welded pipes,Hyderabad,Telangana,,/material-location/ss-304-welded-pipes-hyderabad.html,https://rubinoxmetal.com/material-location/ss-304-welded-pipes-hyderabad.html,SS 304 Welded Pipes Supplier in Hyderabad,SS 304 welded pipes supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
60,india_city,material-location,Stainless Steel,SS 304,seamless pipes,Ankleshwar,Gujarat,,/material-location/ss-304-seamless-pipes-ankleshwar.html,https://rubinoxmetal.com/material-location/ss-304-seamless-pipes-ankleshwar.html,SS 304 Seamless Pipes Supplier in Ankleshwar,SS 304 seamless pipes supplier in Ankleshwar,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
61,india_city,material-location,Stainless Steel,SS 310,plates,Vadodara,Gujarat,,/material-location/ss-310-plates-vadodara.html,https://rubinoxmetal.com/material-location/ss-310-plates-vadodara.html,SS 310 Plates Supplier in Vadodara,SS 310 plates supplier in Vadodara,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
62,india_city,material-location,Stainless Steel,SS 410,round bars,Faridabad,Haryana,,/material-location/ss-410-round-bars-faridabad.html,https://rubinoxmetal.com/material-location/ss-410-round-bars-faridabad.html,SS 410 Round Bars Supplier in Faridabad,SS 410 round bars supplier in Faridabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
63,india_city,material-location,Stainless Steel,SS 420,rods,Pune,Maharashtra,,/material-location/ss-420-rods-pune.html,https://rubinoxmetal.com/material-location/ss-420-rods-pune.html,SS 420 Rods Supplier in Pune,SS 420 rods supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
64,india_city,material-location,Stainless Steel,SS 430,sheets,Mumbai,Maharashtra,,/material-location/ss-430-sheets-mumbai.html,https://rubinoxmetal.com/material-location/ss-430-sheets-mumbai.html,SS 430 Sheets Supplier in Mumbai,SS 430 sheets supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
65,india_city,material-location,Stainless Steel,SS 304,perforated sheets,Chennai,Tamil Nadu,,/material-location/ss-304-perforated-sheets-chennai.html,https://rubinoxmetal.com/material-location/ss-304-perforated-sheets-chennai.html,SS 304 Perforated Sheets Supplier in Chennai,SS 304 perforated sheets supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
66,india_city,material-location,Stainless Steel,SS 316,wire mesh,Chennai,Tamil Nadu,,/material-location/ss-316-wire-mesh-chennai.html,https://rubinoxmetal.com/material-location/ss-316-wire-mesh-chennai.html,SS 316 Wire Mesh Supplier in Chennai,SS 316 wire mesh supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
67,india_city,material-location,Stainless Steel,SS 304L,sheets,Ahmedabad,Gujarat,,/material-location/ss-304l-sheets-ahmedabad.html,https://rubinoxmetal.com/material-location/ss-304l-sheets-ahmedabad.html,SS 304L Sheets Supplier in Ahmedabad,SS 304L sheets supplier in Ahmedabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
68,india_city,material-location,Stainless Steel,SS 316,plates,Hyderabad,Telangana,,/material-location/ss-316-plates-hyderabad.html,https://rubinoxmetal.com/material-location/ss-316-plates-hyderabad.html,SS 316 Plates Supplier in Hyderabad,SS 316 plates supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
