country,region,primary_material_focus,secondary_material_focus,forms_to_prioritize,industry_basis,existing_export_page,proposed_page_type,risk_notes,priority
Taiwan,East Asia,Stainless Steel,Copper | Nickel Alloys | Aluminium,"sheets, tubes, rods, plates","electronics, engineering and marine supply chains",no existing export page,new export country hub plus later combo pages,No existing page; medium priority.,Medium
Germany,Europe,Stainless Steel,Nickel Alloys | Aluminium,"bars, rods, sheets, plates, tubes","engineering, auto, process and machinery supply",yes: /export/germany.html,export combo pages,Existing country page; high for precise form pages.,High
Netherlands,Europe,Stainless Steel,Nickel Alloys | Aluminium,"wire mesh, sheets, plates, pipes","trade, port-linked distribution and engineering",yes: /export/netherlands.html,export combo pages,Existing country page; strong for SS export search.,High
United Kingdom,Europe,Stainless Steel,Nickel Alloys | Brass,"sheets, plates, tubes, rods","engineering, process equipment and commercial fabrication",yes: /export/uk.html,export combo pages,Existing country page; medium-high.,Medium
Italy,Europe,Stainless Steel,Aluminium | Nickel Alloys,"wire mesh, sheets, rods, tubes","engineering, machinery and stainless wire/mesh demand",no existing export page,new export country hub plus later combo pages,No existing page; strong evidence for SS wire/mesh exports.,Medium
Spain,Europe,Stainless Steel,Aluminium | Copper,"sheets, plates, tubes, wire mesh","engineering, marine, architecture and infrastructure",no existing export page,new export country hub plus later combo pages,No existing page; medium.,Medium
Poland,Europe,Stainless Steel,Carbon Steel | Aluminium,"wire mesh, sheets, plates, pipes",industrial and infrastructure supply,no existing export page,new export country hub plus later combo pages,No existing page; medium-low.,Low
United States,Americas,Stainless Steel,Nickel Alloys | Aluminium | Copper,"wire mesh, rods, sheets, plates, tubes","engineering, industrial machinery, electrical and process sectors",yes: /export/usa.html,export combo pages,"Existing country page; high search value, higher content bar.",High
Canada,Americas,Stainless Steel,Aluminium | Nickel Alloys,"sheets, plates, pipes, rods","energy, infrastructure, marine and engineering",no existing export page,new export country hub plus later combo pages,No existing page; medium.,Medium
Mexico,Americas,Stainless Steel,Aluminium | Carbon Steel,"sheets, plates, rods, pipes",auto and engineering supply chains,no existing export page,new export country hub plus later combo pages,No existing page; high industrial relevance but later batch.,Medium
Brazil,Americas,Stainless Steel,Carbon Steel | Aluminium,"wire mesh, sheets, plates, pipes","engineering, energy and infrastructure",no existing export page,new export country hub plus later combo pages,No existing page; medium.,Medium
South Africa,Africa / Indian Ocean,Stainless Steel,Carbon Steel | Aluminium,"wire mesh, sheets, plates, pipes","mining, engineering and infrastructure supply",no existing export page,new export country hub plus later combo pages,No existing page; medium.,Medium
Egypt,Africa / Indian Ocean,Stainless Steel,Carbon Steel | Aluminium,"pipes, plates, sheets, fittings","infrastructure, process and construction-linked procurement",no existing export page,new export country hub plus later combo pages,No existing page; medium-low.,Low
Kenya,Africa / Indian Ocean,Stainless Steel,Aluminium | Carbon Steel,"sheets, pipes, plates, fittings",infrastructure and commercial fabrication,no existing export page,new export country hub plus later combo pages,No existing page; lower than South Africa/Egypt.,Low
Tanzania,Africa / Indian Ocean,Stainless Steel,Aluminium | Carbon Steel,"sheets, pipes, plates",infrastructure and marine-adjacent procurement,no existing export page,new export country hub plus later combo pages,No existing page; low until demand is validated.,Low
Nigeria,Africa / Indian Ocean,Stainless Steel,Carbon Steel | Aluminium,"pipes, sheets, plates, fittings","oil and gas, infrastructure and engineering",no existing export page,new export country hub plus later combo pages,No existing page; content needs strong RFQ proof.,Medium
Mauritius,Africa / Indian Ocean,Stainless Steel,Aluminium | Brass,"sheets, tubes, rods, fittings","marine, hospitality interiors and commercial fabrication",no existing export page,new export country hub plus later combo pages,"No existing page; niche market, lower priority.",Low
Australia,Oceania,Stainless Steel,Aluminium | Nickel Alloys,"wire mesh, sheets, plates, rods","engineering, infrastructure, marine and mining supply",yes: /export/australia.html,export combo pages,Existing country page; medium-high.,Medium
New Zealand,Oceania,Stainless Steel,Aluminium | Copper,"sheets, tubes, rods, wire mesh","marine, food processing and commercial fabrication",no existing export page,new export country hub plus later combo pages,No existing page; low-medium after Australia.,Low
