priority_rank,priority_group,url,page_type,material,grade,form,city,country,reason,hub_linked_from,sitemap_present,live_http_status,canonical_status,gsc_manual_inspection,gsc_index_status,gsc_last_crawl,gsc_page_indexing_reason,bing_status,impressions_day_7,clicks_day_7,avg_position_day_7,impressions_day_14,clicks_day_14,avg_position_day_14,impressions_day_30,clicks_day_30,avg_position_day_30,action_required,notes
11,Priority 1 - core search discovery,https://rubinoxmetal.com/export.html,hub,,,,,,Country export discovery hub.,site navigation/footer,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
12,Priority 1 - core search discovery,https://rubinoxmetal.com/industries.html,hub,,,,,,Industry intent discovery hub.,site navigation/footer,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
13,Priority 1 - core search discovery,https://rubinoxmetal.com/blog.html,knowledge-hub,,,,,,Knowledge Hub and buyer guides.,site navigation/footer,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
14,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel.html,materials,Stainless steel,,,,,Primary material/grade discovery page,material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
15,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/nickel-alloys.html,materials,Nickel Alloys,,,,,Primary material/grade discovery page,material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
16,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/duplex-super-duplex.html,materials,Duplex Super Duplex,,,,,Primary material/grade discovery page,material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
17,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/high-speed-steel.html,materials,High Speed Steel,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
18,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/carbon-steel.html,materials,Carbon Steel,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
19,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/aluminium.html,materials,Aluminium,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
20,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/copper.html,materials,Copper,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
21,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/brass.html,materials,Brass,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
22,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/ss-304-supplier-india.html,materials,Ss 304,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
23,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/ss-316-supplier-india.html,materials,Ss 316,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
24,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/ss-316l-supplier-india.html,materials,Ss 316l,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
25,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/inconel-625-supplier-india.html,materials,Inconel 625,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
26,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/duplex-2205-supplier-india.html,materials,Duplex 2205,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
27,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/super-duplex-2507-supplier-india.html,materials,Super Duplex 2507,,,,,Primary material/grade discovery page,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
28,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/hastelloy-c-276-supplier-india.html,material-grade-form,Hastelloy C 276,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
29,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/monel-400-supplier-india.html,material-grade-form,Monel 400,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
30,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/titanium-grade-2-supplier-india.html,material-grade-form,Titanium Grade 2,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
31,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-pipes-supplier-india.html,material-grade-form,Stainless steel Pipes,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
32,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-tubes-supplier-india.html,material-grade-form,Stainless steel Tubes,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
33,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-sheets-supplier-india.html,material-grade-form,Stainless steel Sheets,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
34,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-plates-supplier-india.html,material-grade-form,Stainless steel Plates,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
35,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-coils-supplier-india.html,material-grade-form,Stainless steel Coils,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
36,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-flanges-supplier-india.html,material-grade-form,Stainless steel Flanges,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
37,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-fittings-supplier-india.html,material-grade-form,Stainless steel Fittings,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
38,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-fasteners-supplier-india.html,material-grade-form,Stainless steel Fasteners,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
39,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-bars-supplier-india.html,material-grade-form,Stainless steel Bars,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
40,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-rods-supplier-india.html,material-grade-form,Stainless steel Rods,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
41,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-angles-supplier-india.html,material-grade-form,Stainless steel Angles,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
42,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/materials/stainless-steel-wire-mesh-supplier-india.html,material-grade-form,Stainless steel Wire Mesh,,,,,Priority monitoring URL.,site navigation/internal links,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
43,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/locations/mumbai.html,city,,,,Mumbai,,Top PAN India supply city page.,locations.html,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
44,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/locations/pune.html,city,,,,Pune,,Top PAN India supply city page.,locations.html,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
45,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/locations/ahmedabad.html,city,,,,Ahmedabad,,Top PAN India supply city page.,locations.html,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
46,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/locations/chennai.html,city,,,,Chennai,,Top PAN India supply city page.,locations.html,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
47,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/locations/hyderabad.html,city,,,,Hyderabad,,Top PAN India supply city page.,locations.html,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
48,"Priority 2 - core materials, forms, cities and export markets",https://rubinoxmetal.com/locations/bengaluru.html,city,,,,Bengaluru,,Top PAN India supply city page.,locations.html,true,200,self_referencing,monitor via sitemap; inspect only if issue appears,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
