priority_rank,proposed_url,reason_not_created,next_action
276,/material-location/ss-316-flanges-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
277,/material-location/ss-316-fittings-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
278,/material-location/ss-304-sheets-chakan-pimpri-chinchwad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
279,/material-location/ss-304-round-bars-chakan-pimpri-chinchwad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
280,/material-location/ss-304-welded-pipes-chakan-pimpri-chinchwad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
281,/material-location/ss-304-seamless-pipes-chakan-pimpri-chinchwad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
282,/material-location/ss-304-tubes-chakan-pimpri-chinchwad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
283,/material-location/ss-304-sheets-ahmedabad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
284,/material-location/ss-304-round-bars-ahmedabad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
285,/material-location/ss-304-welded-pipes-ahmedabad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
286,/material-location/ss-304-seamless-pipes-ahmedabad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
287,/material-location/ss-304-tubes-ahmedabad.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
288,/material-location/ss-304-sheets-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
289,/material-location/ss-304-round-bars-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
290,/material-location/ss-304-welded-pipes-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
291,/material-location/ss-304-seamless-pipes-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
292,/material-location/ss-304-tubes-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
293,/material-location/ss-316-pipes-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
294,/material-location/ss-316-sheets-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
295,/material-location/ss-316-plates-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
296,/material-location/ss-316-round-bars-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
297,/material-location/ss-316-welded-pipes-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
298,/material-location/ss-316-seamless-pipes-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
299,/material-location/ss-316-tubes-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
300,/material-location/ss-316-flanges-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
301,/material-location/ss-316-fittings-vadodara.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
302,/material-location/ss-304-sheets-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
303,/material-location/ss-304-round-bars-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
304,/material-location/ss-304-welded-pipes-chennai.html,Existing page or close equivalent already covers this intent.,Do not create unless intent changes materially.
305,/material-location/ss-304-seamless-pipes-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
306,/material-location/ss-304-tubes-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
307,/material-location/ss-316-pipes-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
308,/material-location/ss-316-sheets-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
309,/material-location/ss-316-plates-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
310,/material-location/ss-316-round-bars-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
311,/material-location/ss-316-welded-pipes-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
312,/material-location/ss-316-seamless-pipes-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
313,/material-location/ss-316-tubes-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
314,/material-location/ss-316-flanges-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
315,/material-location/ss-316-fittings-chennai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
316,/material-location/ss-304-sheets-bengaluru.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
317,/material-location/ss-304-plates-bengaluru.html,Existing page or close equivalent already covers this intent.,Do not create unless intent changes materially.
318,/material-location/ss-304-welded-pipes-bengaluru.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
319,/material-location/ss-304-seamless-pipes-bengaluru.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
320,/material-location/ss-304-tubes-bengaluru.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
