city,state,industrial_cluster_type,primary_material_focus,secondary_material_focus,forms_to_prioritize,grade_examples,existing_location_page,proposed_page_type,risk_notes,priority
Visakhapatnam,Andhra Pradesh,"port, marine, steel and process hub",Stainless Steel,Duplex & Super Duplex | Carbon Steel,"sheets, plates, pipes, fittings","SS 316, Duplex 2205, Carbon Steel",yes: /locations/visakhapatnam.html,city combo pages,High for marine and process applications.,High
Kakinada,Andhra Pradesh,"port, offshore-adjacent and process supply belt",Duplex & Super Duplex,Stainless Steel | Nickel Alloys,"pipes, plates, flanges, fittings","Duplex 2205, Super Duplex 2507, SS 316L",yes: /locations/kakinada.html,city combo pages,Medium-high corrosion-service opportunity.,Medium
Vijayawada,Andhra Pradesh,regional engineering and infrastructure hub,Stainless Steel,Carbon Steel,"pipes, plates, sheets, angles","SS 304, Carbon Steel",yes: /locations/vijayawada.html,city combo pages,Medium priority.,Medium
Delhi,Delhi NCR,"NCR trade, engineering and project-buying hub",Stainless Steel,High Speed Steel | Carbon Steel,"rods, sheets, pipes, fasteners","SS 202, SS 304, HSS M2",yes: /locations/delhi.html,city combo pages,High for SS 202/304 and HSS query intent.,High
Gurugram,Haryana,"auto, engineering and project office belt",Stainless Steel,High Speed Steel | Aluminium,"sheets, rods, bars, fasteners","SS 304, HSS M2, Aluminium 6061",partial: /locations/gurugram-manesar.html,combo pages under Gurugram/Manesar,Covered by combined page.,High
Faridabad,Haryana,engineering and fabrication cluster,Stainless Steel,High Speed Steel | Carbon Steel,"fasteners, rods, plates, angles","SS 304, HSS M2, Carbon Steel",yes: /locations/faridabad.html,city combo pages,High for HSS and fastener content.,High
Noida,Uttar Pradesh,"NCR engineering, electronics and project supply belt",Stainless Steel,High Speed Steel | Aluminium,"rods, sheets, plates, fasteners","SS 202, SS 304, HSS M2",yes: /locations/noida.html,city combo pages,High if pages are combo-specific.,High
Greater Noida,Uttar Pradesh,industrial corridor and engineering hub,Stainless Steel,Carbon Steel | Aluminium,"plates, sheets, pipes, fasteners","SS 304, Aluminium 6061, Carbon Steel",yes: /locations/greater-noida.html,city combo pages,Good corridor-linked opportunity.,Medium
Ghaziabad,Uttar Pradesh,NCR engineering and steel-products supply belt,Stainless Steel,Carbon Steel,"angles, channels, rods, pipes","SS 304, Carbon Steel",yes: /locations/ghaziabad.html,city combo pages,Medium-high for structural/form pages.,Medium
Bhiwadi,Rajasthan,NCR-adjacent industrial cluster,Stainless Steel,Carbon Steel | High Speed Steel,"welded pipes, plates, rods","SS 304, HSS M2, Carbon Steel",no existing city page,combo page after local hub decision,No existing page; use only strong combo intent.,Medium
Neemrana,Rajasthan,industrial corridor cluster,Stainless Steel,Aluminium | Carbon Steel,"sheets, plates, rods","SS 304, Aluminium 6061",no existing city page,combo page after local hub decision,No existing page; lower priority than Bhiwadi.,Low
Jaipur,Rajasthan,regional engineering and trade hub,Stainless Steel,Brass | Aluminium,"flats, rods, sheets","SS 304, Brass, Aluminium 6061",yes: /locations/jaipur.html,city combo pages,Medium priority.,Medium
Indore,Madhya Pradesh,engineering and Pithampur-linked auto supply belt,Nickel Alloys,Stainless Steel | High Speed Steel,"rods, bars, plates","Nickel Alloy, SS 304, HSS M2",partial: /locations/indore-pithampur.html,combo pages under Indore/Pithampur,High for nickel alloy rods and SS plates.,High
Pithampur,Madhya Pradesh,auto and engineering cluster,Stainless Steel,Nickel Alloys | High Speed Steel,"plates, rods, bars","SS 304, Nickel Alloy, HSS M2",partial: /locations/indore-pithampur.html,combo pages under Indore/Pithampur,Covered by existing combined page.,High
Bhopal / Mandideep,Madhya Pradesh,regional engineering and industrial cluster,Stainless Steel,Carbon Steel | Aluminium,"sheets, plates, rods","SS 304, Carbon Steel, Aluminium 6061",yes: /locations/bhopal-mandideep.html,city combo pages,Medium priority.,Medium
Kolkata,West Bengal,eastern India trade and engineering hub,Stainless Steel,Carbon Steel | Nickel Alloys,"pipes, sheets, fittings, flanges","SS 304, SS 316L, Carbon Steel",partial: /locations/kolkata-howrah-durgapur.html,combo pages under Kolkata/Howrah/Durgapur,Use cluster page to avoid splitting thin pages.,Medium
Howrah,West Bengal,engineering and metalworking cluster,Carbon Steel,Stainless Steel,"bars, rods, flanges, fittings","Carbon Steel, SS 304",partial: /locations/kolkata-howrah-durgapur.html,combo pages under Kolkata/Howrah/Durgapur,Medium; avoid broad pages.,Medium
Durgapur,West Bengal,steel and heavy engineering belt,Carbon Steel,Stainless Steel,"plates, channels, angles, pipes","Carbon Steel, SS 304",partial: /locations/kolkata-howrah-durgapur.html,combo pages under Kolkata/Howrah/Durgapur,Medium; best for form-specific pages.,Medium
Jamshedpur,Jharkhand,"steel, auto and engineering hub",Carbon Steel,Stainless Steel | High Speed Steel,"rods, bars, plates, sheets","SS 304, Carbon Steel, HSS M2",yes: /locations/jamshedpur.html,city combo pages,Medium-high for rods/bars and HSS content.,Medium
Ludhiana,Punjab,"machine-tool, bicycle, fastener and engineering hub",High Speed Steel,Stainless Steel | Carbon Steel,"tool steel bars, rods, fasteners","HSS M2, HSS M35, SS 410",yes: /locations/ludhiana.html,city combo pages,High HSS opportunity.,High
Jalandhar,Punjab,sports goods and light engineering cluster,Stainless Steel,Carbon Steel | Brass,"rods, sheets, fasteners","SS 304, Carbon Steel, Brass",no existing city page,combo page after local hub decision,No existing page; lower than Ludhiana.,Low
Kochi,Kerala,"port, marine and process supply hub",Stainless Steel,Duplex & Super Duplex | Brass,"pipes, sheets, fittings, flanges","SS 316L, Duplex 2205, Brass",no existing city page,combo page after local hub decision,No existing page; useful only for marine/process combos.,Medium
Bhubaneswar,Odisha,regional project and infrastructure hub,Stainless Steel,Carbon Steel,"plates, sheets, pipes","SS 304, Carbon Steel",no existing city page,combo page after local hub decision,No existing page; build after stronger states.,Low
Rourkela,Odisha,steel and engineering cluster,Carbon Steel,Stainless Steel,"plates, sheets, channels, angles","Carbon Steel, SS 316",no existing city page,combo page after local hub decision,No existing page; form-specific only.,Low
