url,page_family,title,h1,meta_description,status,primary_keyword,secondary_keywords,schema_types,faq_present,breadcrumb_present,rfq_cta_present,internal_link_notes,image_status,design_score,seo_score,aeo_score,eeat_score,conversion_score,priority,recommended_action,notes
https://rubinoxmetal.com/materials/ss-202-supplier-india.html,Grade / specification pages,SS 202 Supplier in India | Rubinox,SS 202 Supplier in India,"Rubinox supplies SS 202 stainless steel sheets, plates, coils, pipes, tubes, rods, bars, angles, flats, fasteners, fittings and flanges across India.",needs detailed scoring,SS 202 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-304-supplier-india.html,Grade / specification pages,"SS 304 Supplier in India | Pipes, Sheets, Coils, Bars",SS 304 Supplier in India,"Rubinox supplies SS 304 pipes, tubes, sheets, plates, coils, bars, rods, angles, flats, flanges, fittings and fasteners across India.",needs detailed scoring,SS 304 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-304l-supplier-india.html,Grade / specification pages,SS 304L Supplier in India | Rubinox,SS 304L Supplier in India,"Rubinox supplies SS 304L stainless steel pipes, tubes, sheets, plates, coils, bars across India, with export support, MTC documentation and fast quotations.",polished in Batch 10B,SS 304L Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/ss-309-supplier-india.html,Grade / specification pages,SS 309 / 309S Supplier in India | Rubinox,SS 309 / 309S Supplier in India,"Rubinox supplies SS 309 and SS 309S pipes, tubes, sheets, plates, coils, bars, rods across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 309 / 309S Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-309s-supplier-india.html,Grade / specification pages,"SS 309S Supplier in India | SS 309S Pipes, Sheets, Plates",Stainless Steel 309S Supplier in India,"Rubinox supplies Stainless Steel 309S and SS 309S pipes, tubes, sheets, plates, coils across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 309S Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-310-supplier-india.html,Grade / specification pages,SS 310 Supplier in India | Rubinox,SS 310 Supplier in India,"Rubinox supplies SS 310 stainless steel sheets, plates, coils, pipes, tubes, rods, bars, angles, flats, fasteners, fittings and flanges across India.",polished in Batch 10B,SS 310 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/ss-310s-supplier-india.html,Grade / specification pages,"SS 310S Supplier in India | SS 310S Pipes, Tubes, Plates",Stainless Steel 310S Supplier in India,"Rubinox supplies Stainless Steel 310S and SS 310S pipes, tubes, sheets, plates, coils across India, with export support, MTC documentation and fast quotations.",polished in Batch 10B,SS 310S Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/ss-321-supplier-india.html,Grade / specification pages,SS 321 Supplier in India | Rubinox,SS 321 Supplier in India,"Rubinox supplies SS 321 stainless steel sheets, plates, coils, pipes, tubes, rods, bars, angles, flats, fasteners, fittings and flanges across India.",polished in Batch 10B,SS 321 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/ss-321h-supplier-india.html,Grade / specification pages,"SS 321H Supplier in India | SS 321H Pipes, Tubes, Plates",Stainless Steel 321H Supplier in India,"Rubinox supplies Stainless Steel 321H and SS 321H pipes, tubes, sheets, plates, coils across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 321H Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-347-supplier-india.html,Grade / specification pages,"SS 347 Supplier in India | SS 347 Pipes, Tubes, Plates",Stainless Steel 347 Supplier in India,"Rubinox supplies Stainless Steel 347 and SS 347 pipes, tubes, sheets, plates, coils across India, with export support, MTC documentation and fast quotations.",polished in Batch 10B,SS 347 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/ss-347h-supplier-india.html,Grade / specification pages,"SS 347H Supplier in India | SS 347H Pipes, Tubes, Plates",Stainless Steel 347H Supplier in India,"Rubinox supplies Stainless Steel 347H and SS 347H pipes, tubes, sheets, plates, coils across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 347H Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-253ma-supplier-india.html,Grade / specification pages,"SS 253MA Supplier in India | SS 253MA Pipes, Tubes, Plates",Stainless Steel 253MA Supplier in India,"Rubinox supplies Stainless Steel 253MA and SS 253MA pipes, tubes, sheets, plates across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 253MA Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-316-supplier-india.html,Grade / specification pages,"SS 316 Supplier in India | Pipes, Sheets, Plates, Bars",SS 316 Supplier in India,"Rubinox supplies SS 316 pipes, tubes, sheets, plates, coils, bars, rods, angles, flats, flanges, fittings and fasteners across India.",needs detailed scoring,SS 316 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-316l-supplier-india.html,Grade / specification pages,"SS 316L Supplier in India | Tubes, Sheets, Coils, Fittings",SS 316L Supplier in India,"Rubinox supplies SS 316L pipes, tubes, sheets, plates, coils, bars, flanges, fittings and fasteners across India with export support.",representative scored,SS 316L Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,7.3,8.7,8.2,7.2,7.9,P1,Five-page grade/spec pilot,Representative scoring based on latest site-wide design analysis.
https://rubinoxmetal.com/materials/ss-316ti-supplier-india.html,Grade / specification pages,"SS 316Ti Supplier in India | SS 316Ti Pipes, Tubes, Plates",Stainless Steel 316Ti Supplier in India,"Rubinox supplies Stainless Steel 316Ti and SS 316Ti pipes, tubes, sheets, plates across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 316Ti Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-317l-supplier-india.html,Grade / specification pages,SS 317L Supplier in India | Rubinox,SS 317L Supplier in India,"Rubinox supplies SS 317L pipes, tubes, sheets, plates, coils, bars, rods, flanges across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 317L Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-904l-supplier-india.html,Grade / specification pages,SS 904L Supplier in India | Rubinox,SS 904L Supplier in India,"Rubinox supplies SS 904L pipes, tubes, sheets, plates, coils, bars, rods, flanges across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 904L Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-409-supplier-india.html,Grade / specification pages,SS 409 Supplier in India | Rubinox,SS 409 Supplier in India,"Rubinox supplies SS 409 stainless steel sheets, coils, plates, strips, pipes, tubes across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 409 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-410-supplier-india.html,Grade / specification pages,SS 410 Supplier in India | Rubinox,SS 410 Supplier in India,"Rubinox supplies SS 410 stainless steel bars, rods, sheets, plates, pipes, tubes across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 410 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-420-supplier-india.html,Grade / specification pages,SS 420 Supplier in India | Rubinox,SS 420 Supplier in India,"Rubinox supplies SS 420 stainless steel bars, rods, sheets, plates, pipes, tubes across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 420 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-430-supplier-india.html,Grade / specification pages,SS 430 Supplier in India | Rubinox,SS 430 Supplier in India,"Rubinox supplies SS 430 stainless steel sheets, coils, plates, strips, flats, angles across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 430 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-17-4-ph-supplier-india.html,Grade / specification pages,"SS 17-4 PH Supplier in India | SS 17-4 PH Bars, Rods, Plates",Stainless Steel 17-4 PH Supplier in India,"Rubinox supplies Stainless Steel 17-4 PH and SS 17-4 PH round bars, rods, plates across India, with export support, MTC documentation and fast quotations.",polished in Batch 10B,SS 17-4 PH Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/nitronic-60-supplier-india.html,Grade / specification pages,Nitronic 60 Supplier in India | Rubinox,Nitronic 60 Supplier in India,"Rubinox supplies Nitronic 60 stainless steel round bars, rods, shafts, hex bars across India, with export support, MTC documentation and fast quotations.",polished in Batch 10B,Nitronic 60 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/smo-254-supplier-india.html,Grade / specification pages,SMO 254 Supplier in India | Rubinox,SMO 254 Supplier in India,"Rubinox supplies SMO 254 and 6Mo stainless steel pipes, tubes, sheets, plates, coils across India, with export support, MTC documentation and fast quotations.",polished in Batch 10B,SMO 254 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/duplex-2205-supplier-india.html,Grade / specification pages,Duplex 2205 Supplier in India | Rubinox,Duplex 2205 Supplier in India,"Rubinox supplies Duplex 2205 stainless steel pipes, tubes, plates, sheets, coils, bars across India, with export support, MTC documentation and fast quotations.",representative scored,Duplex 2205 Supplier in India,,Answer; BreadcrumbList; FAQPage; ListItem; Organization; Product; PropertyValue; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,7.3,8.7,8.2,7.2,7.9,P1,Five-page grade/spec pilot,Representative scoring based on latest site-wide design analysis.
https://rubinoxmetal.com/materials/super-duplex-2507-supplier-india.html,Grade / specification pages,Super Duplex 2507 Supplier in India | Rubinox,Super Duplex 2507 Supplier in India,"Rubinox supplies Super Duplex 2507 pipes, tubes, plates, sheets, coils, bars, rods across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,Super Duplex 2507 Supplier in India,,Answer; BreadcrumbList; FAQPage; ListItem; Organization; Product; PropertyValue; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/zeron-100-supplier-india.html,Grade / specification pages,Zeron 100 Supplier in India | UNS S32760 | Rubinox,Zeron 100 Supplier in India,"Zeron 100 / UNS S32760 supplier in India for project-specific super duplex pipes, plates, bars, flanges, fittings and components with RFQ and documentation support.",polished in Batch 10B,Zeron 100 Supplier in India,,Answer; BreadcrumbList; FAQPage; ListItem; Organization; Product; PropertyValue; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8.5,8.2,8.1,7.8,8.4,P2,Monitor Batch 10B polished grade/spec pages; defer remaining grade/spec rollout to Batch 10C.,"Batch 10B grade/spec rollout applied; URL, H1 intent, title/meta/canonical targets, schema meaning and sitemap URL preserved. Visual gate passed at 1366 and 390, with representative 1280/768/360 checks."
https://rubinoxmetal.com/materials/stainless-steel-pipes-supplier-india.html,Product form pages,SS Pipes Supplier in India | SS Seamless & Welded Pipes,Stainless Steel Pipes Supplier in India,"Rubinox supplies stainless steel seamless, welded and ERW pipes in SS 304, 316, 316L, 202, 310, 321 and more across India.",needs detailed scoring,SS Pipes Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Polish form hierarchy after grade/spec pilot,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/stainless-steel-tubes-supplier-india.html,Product form pages,SS Tubes Supplier in India | SS Seamless & Welded Tubes,Stainless Steel Tubes Supplier in India,"Rubinox supplies stainless steel seamless, welded, square, rectangular and instrumentation tubes in SS 304, 316, 316L and more across India.",needs detailed scoring,SS Tubes Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Polish form hierarchy after grade/spec pilot,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/stainless-steel-sheets-supplier-india.html,Product form pages,"SS Sheets Supplier in India | SS 304, 316, 316L Sheets",Stainless Steel Sheets Supplier in India,"Buy Stainless Steel Sheets products from Rubinox with PAN India delivery, export support, material documentation and fast quotations.",needs detailed scoring,SS Sheets Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Polish form hierarchy after grade/spec pilot,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/stainless-steel-plates-supplier-india.html,Product form pages,"SS Plates Supplier in India | SS 304, 316, 316L Plates",Stainless Steel Plates Supplier in India,"Buy Stainless Steel Plates products from Rubinox with PAN India delivery, export support, material documentation and fast quotations.",needs detailed scoring,SS Plates Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Polish form hierarchy after grade/spec pilot,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/stainless-steel-coils-supplier-india.html,Product form pages,"SS Coils Supplier in India | SS 304, 316, 316L Coils",Stainless Steel Coils Supplier in India,"Buy Stainless Steel Coils products from Rubinox with PAN India delivery, export support, material documentation and fast quotations.",needs detailed scoring,SS Coils Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Polish form hierarchy after grade/spec pilot,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
